SCN, SCN@Site, SCN@Station, Date, Direction, Lane, Speed, Headway, Occupancy, Vehicles, Motorbikes, Cars, Trailers, Rigids, HGVs, Buses
R0613D1L0, 613, 613, 2023-01-05 08:55:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 08:57:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:07:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:13:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:17:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:23:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:27:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:33:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:47:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:51:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 09:57:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:03:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:07:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:13:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:17:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:23:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:27:43, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:33:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
R0613D1L0, 613, 613, 2023-01-05 10:37:42, 1, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0
