Database,EndDate,NullDataPoints,RepeatedPoints,StartDate,SCN,Site,Station,Date,Direction,Lane,Speed,Headway,Occupancy,Vehicles,Motorbikes,Cars,Trailers,Rigids,HGVs,Buses
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:33:43,1,1,27,945,0,4,1,3,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:37:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:43:42,1,1,26,1704,0,3,0,3,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:47:43,1,1,31,708,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:51:42,1,1,26,367,1,7,0,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:57:42,1,1,28,947,0,3,0,3,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:03:43,1,1,30,388,0,6,1,5,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:07:42,1,1,29,8316,0,4,0,4,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:13:42,1,1,32,457,1,10,1,9,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:17:43,1,1,26,315,1,9,2,7,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:23:43,1,1,36,376,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:25:43,1,1,36,376,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 07:35:43,1,1,26,371,1,8,0,8,0,0,0,0
